Latitude,Longitude,Datetime,Load
51.15,71.44,2020-12-11 16:30:00,8
51.06,71.39,2020-12-11 16:30:00,3
51.120000000000005,71.46000000000001,2020-12-11 16:30:00,4
51.11,71.4,2020-12-11 16:30:00,7
51.15,71.41,2020-12-13 11:15:00,6
51.14,71.41,2020-12-13 11:15:00,4
51.14,71.47,2020-12-07 09:15:00,3
51.14,71.42,2020-12-07 09:15:00,7
51.19,71.45,2020-12-07 09:15:00,8
51.15,71.49,2020-12-07 09:15:00,7
51.11,71.4,2020-12-08 17:30:00,4
51.15,71.43,2020-12-08 17:30:00,4
51.14,71.46000000000001,2020-12-08 17:30:00,3
51.120000000000005,71.43,2020-12-08 17:30:00,10
51.11,71.41,2020-12-08 17:30:00,4
51.14,71.41,2020-12-11 16:30:00,4
51.14,71.45,2020-12-11 16:30:00,3
51.1,71.43,2020-12-11 16:30:00,11
51.13,71.46000000000001,2020-12-11 16:30:00,7
51.120000000000005,71.44,2020-12-10 10:00:00,3
51.13,71.5,2020-12-10 10:00:00,3
51.18,71.46000000000001,2020-12-10 10:00:00,6
51.13,71.46000000000001,2020-12-13 11:30:00,4
51.15,71.37,2020-12-13 11:30:00,4
51.160000000000004,71.42,2020-12-13 11:30:00,10
51.14,71.45,2020-12-13 11:30:00,3
51.120000000000005,71.4,2020-12-13 11:30:00,7
51.11,71.4,2020-12-07 09:15:00,6
51.11,71.43,2020-12-11 16:30:00,7
51.13,71.43,2020-12-11 16:30:00,2
51.120000000000005,71.43,2020-12-11 16:30:00,3
51.17,71.42,2020-12-11 16:30:00,4
51.120000000000005,71.44,2020-12-11 16:30:00,3
51.160000000000004,71.47,2020-12-08 17:30:00,3
51.06,71.42,2020-12-08 17:30:00,8
51.15,71.42,2020-12-08 17:30:00,3
51.120000000000005,71.4,2020-12-08 17:30:00,6
51.120000000000005,71.44,2020-12-08 17:30:00,4
51.120000000000005,71.52,2020-12-08 17:30:00,3
51.17,71.4,2020-12-10 10:00:00,3
51.19,71.45,2020-12-10 10:00:00,3
51.15,71.42,2020-12-10 10:00:00,3
51.11,71.43,2020-12-10 10:00:00,6
51.18,71.41,2020-12-10 10:00:00,3
51.14,71.42,2020-12-10 10:00:00,9
51.09,71.39,2020-12-10 10:00:00,3
51.17,71.41,2020-12-10 10:00:00,9
51.160000000000004,71.47,2020-12-13 11:30:00,7
51.17,71.42,2020-12-13 11:30:00,3
51.14,71.43,2020-12-07 09:15:00,3
51.17,71.42,2020-12-07 09:30:00,7
51.14,71.42,2020-12-07 09:30:00,3
51.14,71.47,2020-12-07 09:30:00,7
51.120000000000005,71.44,2020-12-07 09:30:00,3
